HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
8,7,11,3,8,8,4,9,1,2,1586.1204611431501,1388.2971211375198,1
7,10,4,10,4,7,5,13,0,1,1427.4264783797,1327.92558909281,1
11,5,4,9,6,12,5,8,3,1,1534.31597276578,1404.6662610612802,0
6,6,6,12,3,10,7,9,0,0,1461.80771614039,1513.89264573163,0
11,3,7,9,8,7,6,10,2,2,1530.7890798155302,1497.01302442199,1
3,11,3,14,15,2,12,3,0,2,1376.02765512225,1559.60903106814,0
12,1,9,6,6,10,3,11,3,3,1677.83659128255,1371.1359748028,1
7,9,6,11,11,6,4,9,0,2,1333.51354654209,1450.9783864898498,0
5,10,3,14,6,12,5,7,3,0,1362.3883369869,1501.98564127001,1
13,1,9,7,14,3,7,7,3,2,1503.9964149513,1488.14449618014,1
9,6,4,11,16,2,7,8,1,3,1520.5491843945802,1687.2097913120401,1
13,1,9,6,13,4,8,6,3,1,1674.5504646744198,1541.14778115958,0
6,10,6,10,3,12,3,14,2,0,1391.0206025115801,1339.36621484559,1
13,4,8,5,6,12,6,8,2,2,1645.9980555305099,1437.50869434793,1
6,10,3,14,9,7,11,3,3,2,1359.5152483961099,1620.0323839423002,0
10,4,11,6,9,6,7,8,2,1,1646.2491801750698,1355.1897518568599,1
14,2,9,8,12,3,7,9,2,2,1718.0804877465803,1555.15512409944,0
14,1,9,7,16,2,7,9,3,2,1532.5719662567599,1681.2666060653,1
15,2,13,3,10,6,4,11,2,2,1556.2981355887302,1525.33124456643,1
3,10,8,9,6,10,3,12,1,2,1511.22550655676,1377.04204100743,0
4,11,5,12,14,3,7,8,2,1,1536.14281265444,1502.6744116808802,1
8,7,6,11,10,4,14,3,1,0,1501.59001862854,1680.0120319411599,0
6,7,6,12,6,12,5,8,0,0,1446.10783096199,1495.64081382082,0
8,8,4,10,8,10,4,10,1,1,1395.05823537503,1451.46581046603,1
4,7,5,14,4,12,4,12,1,1,1341.86775332578,1304.8672584396302,0
14,4,8,5,6,8,6,12,2,0,1641.26487716832,1467.98627804475,1
10,4,15,3,9,7,12,3,1,2,1676.39365586186,1640.7405596751998,1
6,12,6,9,7,10,6,11,1,0,1438.1561339583402,1335.96114723123,1
5,11,5,12,11,4,11,6,3,2,1538.50976772068,1612.7769245621398,1
13,4,9,6,11,6,5,9,1,2,1575.7087260587198,1409.8226825909699,0
7,10,6,10,16,2,13,3,2,2,1384.6972640435902,1611.12719166768,0
3,11,8,9,9,6,7,9,1,1,1359.92776906282,1363.48554455608,1
10,6,4,12,3,12,3,15,2,0,1516.0572206815198,1317.5518362612402,0
8,8,6,11,6,12,6,8,0,1,1506.4252788309698,1501.38606798235,0
12,3,8,9,8,10,4,11,2,1,1563.55336085523,1434.9275289287302,1
4,8,5,14,15,1,9,7,1,3,1276.82495211083,1547.3926897746899,1
