HOME_TEAM_HOME_WINS,HOME_TEAM_ROAD_WINS,AWAY_TEAM_HOME_WINS,AWAY_TEAM_ROAD_WINS,HOME_TEAM_RATING,AWAY_TEAM_RATING,HOME_TEAM_PPG,HOME_TEAM_PAPG,AWAY_TEAM_PPG,AWAY_TEAM_PAPG,HOME_TEAM_WINS
0.75,0.625,0.143,0.167,1.0,0.06666666666666665,103,92,92,106,1
0.4,0.5,0.571,0.429,0.5333333333333333,0.09999999999999998,102,110,101,100,1
0.625,0.714,0.5,0.444,0.43333333333333335,0.1333333333333333,103,100,95,91,0
0.6,0.375,0.429,0.429,0.5,0.8,100,99,103,103,1
0.2,0.25,0.6,0.5,0.19999999999999996,0.2666666666666667,99,106,97,97,1
0.167,0.714,0.5,0.375,0.4666666666666667,0.7333333333333334,102,103,91,100,0
0.286,0.571,0.333,0.143,0.4,0.33333333333333337,98,99,101,111,1
0.714,0.5,0.5,0.5,0.9666666666666667,0.16666666666666663,113,104,101,97,0
0.4,0.25,0.667,0.625,0.23333333333333328,0.6333333333333333,103,108,102,96,1
0.714,0.5,0.625,0.5,0.6666666666666667,0.9,101,99,96,96,1
0.375,0.5,0.5,0.6,0.8666666666666667,0.16666666666666663,101,108,101,96,0
0.5,0.444,0.625,0.5,0.7333333333333334,0.9666666666666667,93,101,110,104,1
0.143,0.143,0.571,0.571,0.06666666666666665,0.7,91,104,101,100,0
0.625,0.4,0.333,0.25,0.6,0.19999999999999996,104,100,99,104,1
0.8,0.625,0.429,0.375,1.0,0.8,102,91,102,103,1
0.2,0.222,0.556,0.714,0.5666666666666667,0.43333333333333335,94,103,102,100,1
0.6,0.444,0.857,0.571,0.2666666666666667,0.30000000000000004,96,97,102,95,1
0.875,0.857,0.667,0.556,0.7666666666666666,0.6333333333333333,114,97,102,97,1
0.75,0.4,0.143,0.714,0.8333333333333334,0.4666666666666667,96,90,103,104,0
0.333,0.125,0.571,0.429,0.33333333333333337,0.3666666666666667,100,109,98,103,0
0.375,0.571,0.667,0.375,0.4,0.5,98,98,101,99,1
0.5,0.5,0.5,0.5,0.5333333333333333,0.033333333333333326,103,109,97,101,1
0.556,0.625,0.455,0.25,0.43333333333333335,0.23333333333333328,101,99,103,107,1
0.5,0.667,0.571,0.625,0.16666666666666663,0.7,102,95,100,99,0
0.667,0.333,0.333,0.222,0.5,0.5666666666666667,100,99,94,102,1
0.333,0.5,0.429,0.333,0.8666666666666667,0.8,100,108,100,102,1
0.625,0.429,0.286,0.125,0.9666666666666667,0.33333333333333337,110,105,100,109,1
0.571,0.375,0.143,0.75,0.09999999999999998,0.4666666666666667,100,101,103,103,1
0.125,0.143,0.625,0.429,0.06666666666666665,0.9,90,103,96,96,0
0.667,0.4,0.75,0.5,0.6,0.6666666666666667,105,100,100,99,0
0.833,0.625,0.571,0.5,1.0,0.3666666666666667,101,90,99,102,1
0.5,0.5,0.667,0.5,0.1333333333333333,0.6333333333333333,95,91,102,98,1
0.857,0.5,0.5,0.429,0.30000000000000004,0.033333333333333326,102,96,96,102,1
0.75,0.333,0.889,0.857,0.9333333333333333,0.7666666666666666,105,104,114,98,0
0.667,0.4,0.455,0.2,0.8333333333333334,0.23333333333333328,96,91,103,107,1
0.444,0.667,0.333,0.2,0.16666666666666663,0.5666666666666667,102,96,95,103,1
0.714,0.333,0.111,0.143,0.5,0.06666666666666665,102,100,90,104,1
0.571,0.667,0.6,0.5,0.7,0.1333333333333333,101,99,95,91,1
0.571,0.444,0.6,0.4,0.3666666666666667,0.6,99,103,105,100,0
0.889,0.875,0.75,0.571,0.7666666666666666,0.6666666666666667,114,100,101,98,1
0.333,0.222,0.667,0.455,0.19999999999999996,0.6333333333333333,99,105,101,98,0
0.571,0.444,0.4,0.5,0.7333333333333334,0.8666666666666667,95,102,101,108,1
0.143,0.667,0.667,0.444,0.4666666666666667,0.2666666666666667,102,103,97,97,0
0.286,0.111,0.857,0.625,0.33333333333333337,1.0,100,109,102,91,1
0.667,0.429,0.444,0.571,0.9666666666666667,0.4,110,105,98,98,0
0.429,0.3,0.667,0.333,0.8,0.9333333333333333,100,103,106,106,1
0.875,0.5,0.6,0.625,0.30000000000000004,0.43333333333333335,103,96,101,99,1
0.667,0.5,0.571,0.5,0.2666666666666667,0.5333333333333333,97,96,104,106,0
0.4,0.429,0.444,0.625,0.8666666666666667,0.4,100,107,98,97,0
0.625,0.5,0.5,0.375,0.9,0.033333333333333326,97,95,96,103,1
0.7,0.4,0.111,0.125,0.8333333333333334,0.06666666666666665,97,93,90,104,1
0.625,0.375,0.455,0.167,0.09999999999999998,0.23333333333333328,101,101,103,108,0
0.857,0.556,0.625,0.444,1.0,0.7333333333333334,101,92,95,100,1
0.333,0.182,0.5,0.667,0.5666666666666667,0.16666666666666663,95,104,103,96,1
0.5,0.444,0.9,0.875,0.3666666666666667,0.7666666666666666,100,103,114,99,0
0.667,0.286,0.667,0.5,0.9333333333333333,0.6333333333333333,104,105,101,97,0
0.286,0.222,0.5,0.3,0.19999999999999996,0.8,98,105,100,102,0
0.375,0.111,0.6,0.5,0.33333333333333337,0.6,100,108,105,101,1
0.6,0.429,0.625,0.667,0.9666666666666667,0.7,109,104,101,99,1
0.75,0.333,0.455,0.286,0.5,0.23333333333333328,102,99,103,106,1
